back_down,DVadv,set,intelligent,confident,id,c1,c2,c3,c4,i1,i2,i3,i4,i5,othercheck,passman,moderatorrolecheck,passcomp,male,age,filter_$
did_not_back_down,4,NA,4,6,A1YI1H05AQ3ING,6,6,6,6,4,4,4,4,4,1,0,6,0,1,30,NA
did_not_back_down,4,NA,4,4,A119S66722ZWOW,4,4,4,4,4,4,4,4,4,1,0,6,0,0,30,NA
backed_down,4,NA,4,3.25,A3NQ988D43B0JW,2,3,4,4,4,4,4,5,3,2,0,6,0,1,25,NA
did_not_back_down,1,1,3.2,6.5,A13QLFAG3OGRT8,6,7,6,7,5,2,4,3,2,2,1,6,0,1,44,1
did_not_back_down,2,1,2,5,A1C7XI68SED8JE,5,5,5,5,2,2,2,2,2,2,1,6,0,0,36,1
did_not_back_down,3,1,3.6,5,A1DWMYWNC3QCFM,5,5,5,5,4,4,2,4,4,2,1,6,0,1,32,1
did_not_back_down,4,NA,3.6,7,A3I9743KVD971V,7,7,7,7,5,2,3,5,3,2,1,6,0,1,23,NA
did_not_back_down,5,2,4.6,5,A3OZ5DRX0ARFM4,5,4,5,6,5,5,4,3,6,2,1,6,0,1,29,0
did_not_back_down,5,2,4.6,3.5,A1TOHQNC01HNO8,4,3,4,3,4,4,5,5,5,2,1,6,0,0,30,0
did_not_back_down,5,2,5,7,A1X1OL9L162X8Q,7,7,7,7,5,5,5,5,5,2,1,6,0,0,32,0
did_not_back_down,5,2,6,6,A2OVX9UW5WANQE,6,6,6,6,6,6,6,6,6,2,1,6,0,0,45,0
did_not_back_down,5,2,4.2,5,A22UMPYYQBXT0F,5,5,5,5,5,4,3,4,5,2,1,6,0,1,26,0
did_not_back_down,6,2,5.8,5.5,A2XJKUAF3WMT8W,5,6,5,6,6,5,6,6,6,2,1,6,0,NA,NA,0
did_not_back_down,6,2,7,6,A3Q9UIPBY9QWLA,6,6,6,6,7,7,7,7,7,2,1,6,0,1,32,0
did_not_back_down,6,2,5.6,5.5,AHOAVGSI4TG30,6,5,6,5,6,6,6,5,5,2,1,6,0,0,39,0
