aote,global_warming,evolution,big_bang,stem_cell,vaccines,old_earth,modern_medicine,tech_problems,gm_health,trust_scien
50,83.33333333,66.66666667,50,83.33333333,16.66666667,33.33333333,NA,33.33333333,50,2
92.5,100,100,100,100,100,100,100,100,100,5
52.5,66.66666667,66.66666667,50,50,66.66666667,50,66.66666667,50,50,4
87.5,100,100,100,100,100,100,100,100,100,5
45,83.33333333,66.66666667,16.66666667,33.33333333,33.33333333,83.33333333,66.66666667,50,50,3
67.5,83.33333333,50,50,83.33333333,50,83.33333333,83.33333333,83.33333333,33.33333333,4
60,100,0,0,50,100,100,100,83.33333333,66.66666667,4
97.5,100,100,100,100,100,100,83.33333333,50,83.33333333,4
97.5,100,100,100,100,100,100,83.33333333,100,66.66666667,4
37.5,100,0,50,50,16.66666667,100,66.66666667,66.66666667,50,4
47.5,66.66666667,83.33333333,66.66666667,66.66666667,66.66666667,83.33333333,66.66666667,66.66666667,50,3
95,100,100,100,100,100,100,100,66.66666667,66.66666667,4
57.5,83.33333333,66.66666667,83.33333333,83.33333333,66.66666667,83.33333333,50,33.33333333,16.66666667,4
70,100,50,50,66.66666667,100,50,83.33333333,83.33333333,33.33333333,4
50,66.66666667,50,50,33.33333333,33.33333333,83.33333333,33.33333333,50,33.33333333,5
42.5,50,16.66666667,0,50,100,83.33333333,83.33333333,50,33.33333333,3
62.5,100,100,100,66.66666667,83.33333333,100,83.33333333,100,83.33333333,4
82.5,100,100,83.33333333,100,100,100,100,100,66.66666667,5
52.5,83.33333333,66.66666667,66.66666667,66.66666667,50,83.33333333,66.66666667,33.33333333,33.33333333,4
100,100,100,100,100,100,100,100,50,66.66666667,5
55,100,100,83.33333333,83.33333333,50,100,66.66666667,50,16.66666667,3
67.5,100,16.66666667,0,66.66666667,100,83.33333333,83.33333333,16.66666667,50,3
97.5,100,100,100,100,100,100,100,100,83.33333333,5
65,100,66.66666667,66.66666667,50,50,100,66.66666667,16.66666667,33.33333333,4
90,100,83.33333333,83.33333333,66.66666667,100,100,83.33333333,100,83.33333333,4
65,0,83.33333333,66.66666667,16.66666667,66.66666667,83.33333333,66.66666667,83.33333333,33.33333333,3
85,100,100,100,100,100,100,100,100,83.33333333,5
65,100,66.66666667,50,83.33333333,100,50,100,100,100,4
100,83.33333333,100,100,100,100,100,83.33333333,100,50,4
80,33.33333333,100,83.33333333,83.33333333,100,100,100,50,100,3
40,16.66666667,50,16.66666667,83.33333333,33.33333333,83.33333333,83.33333333,66.66666667,0,3
25,0,0,0,0,0,0,0,0,0,3
70,83.33333333,100,100,100,100,83.33333333,100,83.33333333,50,4
82.5,83.33333333,100,100,100,100,100,100,66.66666667,16.66666667,4
80,100,100,100,100,100,100,100,100,83.33333333,4
62.5,66.66666667,83.33333333,83.33333333,100,100,100,100,100,50,4
77.5,100,100,100,100,100,100,83.33333333,83.33333333,50,4
55,50,83.33333333,83.33333333,50,NA,100,66.66666667,50,16.66666667,4
72.5,83.33333333,50,50,66.66666667,100,83.33333333,83.33333333,83.33333333,100,4
71.42857143,100,83.33333333,83.33333333,83.33333333,100,83.33333333,66.66666667,50,83.33333333,5
75,100,100,100,100,100,100,83.33333333,83.33333333,50,4
100,100,100,66.66666667,100,100,100,100,100,100,4
95,100,100,100,100,100,100,100,100,83.33333333,5
100,83.33333333,100,100,83.33333333,50,100,100,66.66666667,33.33333333,3
60,100,100,100,83.33333333,83.33333333,100,83.33333333,83.33333333,16.66666667,4
97.5,100,100,100,100,100,100,100,83.33333333,83.33333333,5
75,0,0,0,83.33333333,16.66666667,50,100,83.33333333,16.66666667,3
70,50,100,100,100,100,100,100,100,50,5
42.5,100,0,0,50,0,50,66.66666667,33.33333333,0,2
50,83.33333333,66.66666667,33.33333333,50,100,100,83.33333333,100,50,3
100,100,100,66.66666667,100,100,100,83.33333333,66.66666667,83.33333333,3
65,100,100,100,100,100,100,100,100,83.33333333,4
72.5,100,100,100,100,100,100,100,83.33333333,33.33333333,4
82.5,100,100,83.33333333,100,100,100,100,100,50,5
50,50,66.66666667,33.33333333,66.66666667,33.33333333,50,50,66.66666667,33.33333333,3
87.5,100,100,100,100,100,100,100,100,100,5
